#acid_cid, time(sec), point_source, latitude(deg), longitude(deg), altitude(feet), altDot(feet/sec), air_temp(Kelvin), air_density, pressure, delta_distance(nm), groundspeed(kts), heading(deg), windDirTo(deg), windMag(kts), true_airspeedCalc(kts), true_airspeedUsed(kts), true_airspeed(mps), true_airspeed_dot(mps2), bank_angle, config, lift_coeff, profile_drag_coeff, induced_drag_coeff, drag_coeff, thrust_drag(N), thrust_accel(N), thrust_pe(N), totalThrustCalc(N), totalThrustUsed(N), spec_fuel_consump(kg/min/kN), fuel_consump_rate(kg/min), fuel_burned(kg), weight(kg)
ABC006_006,49532, T,39.46,-74.572778,0,0,281.744,1.211,1013.25,0,133,0,114.521,5.821,135.519,137.567,70.771,0,0, TO,0,0,0,0,0,0,0,0,0,0,0,0,20749.198
ABC006_006,49542, T,39.463889,-74.582222,0,0,281.752,1.211,1013.25,0.496,159,0,114.707,5.803,161.512,149.539,76.93,0.308,0, TO,0.872979,0.018235,0.042467,0.050599,12802.4,6389.737,0,19192.137,19192.137,0.853381,16.378214,2.73,20746.468
ABC006_006,49552, T,39.466667,-74.589444,250,15,281.758,1.211,1004.125894,0.374,174,90,114.846,5.79,168.764,171.546,88.251,1.132,0, TO,0.69808,0.018235,0.042467,0.03893,12958.963,23487.269,17325.286,53771.519,53771.519,0.881627,47.406404,7.901,20738.567
ABC006_006,49555.462, I,39.468301,-74.593291,400,21.923,281.762,1.21,998.683446,0.203,178.846, �,0,0,176.293,174.581,89.812,0.451,0, TO,0.600578,0.018235,0.042467,0.033553,11566.148,9355.869,29205.64,50127.656,50127.656,0.902443,45.237361,2.61,20735.957
ABC006_006,49562, T,39.471389,-74.600556,683.3,35,281.768,1.21,988.468444,0.384,188,0,115.059,5.769,190.515,190.515,98.01,1.092,0, IC,0.539861,0.018235,0.042467,0.030612,12563.394,22642.168,27780.101,62985.664,62985.664,0.918212,57.834184,6.302,20729.655
ABC006_006,49572, T,39.474167,-74.609167,1100,40,281.885,1.205,973.600237,0.432,195,90,118.343,5.637,190.058,192.338,98.947,0.094,0, IC,0.492872,0.018235,0.042467,0.028551,11892.62,1944.182,25744.93,39581.731,39581.731,0.932973,36.928675,6.155,20723.5
ABC006_006,49582, T,39.473333,-74.623333,1250,25,281.883,1.205,968.292234,0.658,204,0.028,118.253,5.63,206.722,203.868,104.879,0.317,0, IC,0.460071,0.018235,0.042467,0.027224,12740.067,6561.235,8856.654,28157.957,28157.957,0.944073,26.583155,4.431,20719.07
ABC006_006,49592, T,39.468889,-74.630833,1133.3,0,281.883,1.205,972.418649,0.438,210,90,118.225,5.628,205.059,208.113,107.063,0.218,0, IC,0.425421,0.018235,0.042467,0.025921,12640.753,4524.654,-6690.264,10475.143,10475.143,0.957186,10.026657,1.671,20717.398
ABC006_006,49602, T,39.458333,-74.635833,1166.7,0,281.883,1.205,971.238223,0.674,207,0,118.242,5.629,209.722,208.668,107.348,0.013,0, IC,0.415647,0.018235,0.042467,0.025572,12537.011,271.623,1939.05,14747.685,14747.685,0.961175,14.175111,2.363,20715.036
ABC006_006,49612, T,39.450833,-74.635,1300,10,281.884,1.205,966.528116,0.452,202,90,118.28,5.632,197.058,199.946,102.861,-0.401,0, IC,0.43238,0.018235,0.042467,0.026174,11782.141,-8302.294,7947.281,11427.128,11427.128,0.954386,10.905893,1.818,20713.218
